,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
Coal Miner's Daughter,79.0,76.0,63.0,55.0
The Watcher in the Woods,77.0,73.0,76.0,56.0
Breaker Morant,55.0,55.0,55.0,55.0
The Stunt Man,88.0,72.0,72.0,55.0
Where the Buffalo Roam,79.0,76.0,65.0,56.0
The Awakening,76.0,76.0,76.0,76.0
Cheech and Chong's Next Movie,77.0,73.0,76.0,56.0
The Island,77.0,73.0,73.0,56.0
The Boogey Man,76.0,76.0,76.0,76.0
The Nude Bomb,77.0,73.0,73.0,56.0
Lion of the Desert,79.0,76.0,63.0,55.0
Stardust Memories,56.0,56.0,56.0,56.0
Melvin and Howard,77.0,73.0,76.0,56.0
Can't Stop the Music,79.0,76.0,63.0,74.0
Bronco Billy,77.0,73.0,73.0,56.0
City of Women,81.0,71.0,69.0,56.0
The Private Eyes,77.0,73.0,76.0,56.0
When Time Ran Out...,75.0,68.0,72.0,74.0
Oh Heavenly Dog,77.0,73.0,76.0,56.0
The Octagon,77.0,73.0,73.0,56.0
Hangar 18,76.0,68.0,68.0,41.0
Herbie Goes Bananas,76.0,76.0,76.0,76.0
The Competition,77.0,73.0,76.0,56.0
It's My Turn,77.0,73.0,76.0,56.0
Honeysuckle Rose,77.0,73.0,76.0,56.0
Resurrection,55.0,55.0,55.0,55.0
Fatso,77.0,73.0,76.0,56.0
Moscow Does Not Believe in Tears,73.0,69.0,69.0,56.0
The Fiendish Plot of Dr. Fu Manchu,77.0,73.0,76.0,56.0
Serial,77.0,73.0,76.0,56.0
Hero at Large,77.0,73.0,76.0,56.0
Wholly Moses!,66.0,76.0,66.0,56.0
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",57.0,57.0,68.0,46.0
In God We Trust (or Gimme That Prime Time Religion),77.0,73.0,76.0,56.0
Roadie,77.0,73.0,76.0,56.0
Just Tell Me What You Want,77.0,73.0,76.0,56.0
The Last Flight of Noah's Ark,77.0,73.0,76.0,56.0
Little Miss Marker,77.0,73.0,76.0,56.0
Willie & Phil,77.0,73.0,76.0,56.0
Babylon,55.0,55.0,55.0,55.0
Windwalker,77.0,73.0,76.0,56.0
Phobia,76.0,76.0,76.0,76.0
Windows,76.0,76.0,76.0,76.0
Loving Couples,77.0,73.0,76.0,56.0
The King and the Mockingbird,57.0,57.0,68.0,46.0
"Oh, God! Book II",77.0,73.0,76.0,56.0
"Those Lips, Those Eyes",82.0,73.0,76.0,53.0
La Cage aux Folles II,77.0,73.0,76.0,56.0
The Gong Show Movie,66.0,76.0,66.0,56.0
Gilda Live,77.0,73.0,76.0,56.0
Why Would I Lie?,82.0,73.0,76.0,53.0
First Family,66.0,76.0,66.0,56.0
Mantis Fist Fighter,77.0,73.0,73.0,56.0
Indiana Jones and the Raiders of the Lost Ark,88.0,72.0,72.0,55.0
Body Heat,55.0,55.0,55.0,55.0
An American Werewolf in London,56.0,56.0,56.0,56.0
Escape from New York,88.0,72.0,72.0,55.0
The Evil Dead,81.0,68.0,69.0,55.0
Porky's,77.0,73.0,76.0,56.0
Blow Out,55.0,55.0,55.0,55.0
Clash of the Titans,77.0,73.0,73.0,56.0
Excalibur,55.0,55.0,55.0,55.0
Mad Max 2,88.0,72.0,72.0,55.0
Das Boot,55.0,55.0,55.0,55.0
Stripes,77.0,73.0,76.0,56.0
Possession,77.0,77.0,76.0,55.0
The Cannonball Run,77.0,73.0,73.0,56.0
Thief,88.0,72.0,72.0,55.0
Endless Love,77.0,76.0,76.0,56.0
Time Bandits,55.0,55.0,55.0,55.0
The Four Seasons,77.0,73.0,76.0,56.0
Friday the 13th Part 2,77.0,73.0,70.0,56.0
Scanners,77.0,73.0,76.0,56.0
For Your Eyes Only,77.0,73.0,73.0,56.0
Halloween II,82.0,76.0,76.0,53.0
Taps,77.0,73.0,76.0,56.0
Reds,79.0,76.0,63.0,55.0
On Golden Pond,55.0,55.0,55.0,55.0
The Fox and the Hound,57.0,57.0,68.0,46.0
Chariots of Fire,79.0,76.0,63.0,55.0
Absence of Malice,77.0,73.0,76.0,56.0
Tarzan the Ape Man,76.0,76.0,76.0,76.0
Victory,77.0,73.0,76.0,56.0
Arthur,77.0,73.0,76.0,56.0
My Dinner with Andre,79.0,76.0,63.0,55.0
Caveman,77.0,73.0,76.0,56.0
Dead & Buried,77.0,73.0,76.0,56.0
History of the World: Part I,77.0,73.0,76.0,56.0
The Howling,77.0,73.0,76.0,56.0
Dragonslayer,77.0,73.0,73.0,56.0
Cutter's Way,77.0,73.0,76.0,56.0
Quest for Fire,55.0,55.0,55.0,55.0
The Final Conflict,77.0,73.0,76.0,56.0
Mommie Dearest,79.0,76.0,65.0,56.0
Private Lessons,77.0,73.0,70.0,56.0
The Postman Always Rings Twice,77.0,73.0,76.0,56.0
Ragtime,55.0,55.0,55.0,55.0
Deadly Blessing,77.0,73.0,76.0,56.0
Eyewitness,77.0,73.0,76.0,56.0
Gallipoli,55.0,55.0,55.0,55.0
Outland,77.0,73.0,73.0,56.0
Southern Comfort,88.0,72.0,72.0,55.0
S.O.B.,77.0,73.0,76.0,56.0
The Beyond,77.0,73.0,70.0,56.0
Ghost Story,77.0,73.0,76.0,56.0
My Bloody Valentine,77.0,73.0,76.0,56.0
The Funhouse,77.0,73.0,76.0,56.0
One from the Heart,77.0,73.0,76.0,56.0
The French Lieutenant's Woman,55.0,55.0,55.0,55.0
The Great Muppet Caper,55.0,55.0,55.0,55.0
True Confessions,77.0,73.0,76.0,56.0
Looker,77.0,73.0,76.0,56.0
Nighthawks,77.0,73.0,73.0,56.0
Nice Dreams,77.0,73.0,76.0,56.0
Sharky's Machine,77.0,73.0,73.0,56.0
Neighbors,77.0,73.0,76.0,56.0
Puberty Blues,77.0,73.0,70.0,56.0
Eye of the Needle,55.0,55.0,55.0,55.0
Wolfen,77.0,73.0,76.0,56.0
Student Bodies,77.0,73.0,76.0,56.0
Prince of the City,55.0,55.0,55.0,55.0
The Hand,77.0,73.0,76.0,56.0
Continental Divide,77.0,73.0,76.0,56.0
Diva,58.0,58.0,58.0,58.0
Venom,77.0,76.0,70.0,56.0
Fort Apache the Bronx,77.0,73.0,76.0,56.0
Eyes of a Stranger,77.0,73.0,76.0,56.0
Zorro: The Gay Blade,77.0,73.0,73.0,56.0
Under the Rainbow,77.0,73.0,76.0,56.0
Carbon Copy,77.0,73.0,76.0,56.0
The Incredible Shrinking Woman,77.0,73.0,76.0,56.0
The Night the Lights Went Out in Georgia,77.0,73.0,76.0,56.0
Quartet,77.0,73.0,76.0,56.0
Graduation Day,76.0,76.0,76.0,76.0
Modern Problems,77.0,73.0,76.0,56.0
Pennies from Heaven,77.0,73.0,76.0,56.0
American Pop,57.0,57.0,68.0,46.0
The Legend of the Lone Ranger,77.0,73.0,73.0,56.0
Sphinx,77.0,73.0,76.0,56.0
Night School,77.0,73.0,76.0,56.0
An Eye for an Eye,77.0,73.0,73.0,56.0
Zoot Suit,77.0,73.0,76.0,56.0
Rich and Famous,77.0,73.0,76.0,58.0
Buddy Buddy,77.0,73.0,76.0,56.0
Bustin' Loose,77.0,73.0,76.0,56.0
Modern Romance,56.0,56.0,56.0,56.0
Heartbeeps,66.0,76.0,66.0,56.0
Back Roads,77.0,73.0,76.0,56.0
Take This Job and Shove It,66.0,76.0,66.0,56.0
Raggedy Man,77.0,73.0,76.0,56.0
Whose Life Is It Anyway?,56.0,56.0,56.0,56.0
Inchon,0.0,0.0,0.0,0.0
All Night Long,77.0,73.0,70.0,56.0
The Pursuit of D.B. Cooper,77.0,73.0,76.0,56.0
Rollover,77.0,73.0,76.0,56.0
Only When I Laugh,77.0,73.0,76.0,56.0
Honky Tonk Freeway,77.0,73.0,73.0,56.0
Paternity,66.0,76.0,66.0,56.0
King of the Mountain,77.0,73.0,73.0,56.0
Scream,55.0,55.0,55.0,55.0
The Devil and Max Devlin,66.0,76.0,66.0,56.0
The Amateur,77.0,73.0,76.0,56.0
Longshot,77.0,73.0,76.0,56.0
Comin' at Ya!,77.0,73.0,76.0,56.0
Le Pont du Nord,77.0,73.0,76.0,56.0
Silence of the North,77.0,73.0,76.0,56.0
Fast Times at Ridgemont High,56.0,56.0,56.0,56.0
Blade Runner,88.0,73.0,72.0,58.0
The Thing,77.0,73.0,76.0,55.0
Conan the Barbarian,77.0,73.0,73.0,56.0
E.T. the Extra-Terrestrial,55.0,55.0,55.0,55.0
First Blood,88.0,72.0,72.0,55.0
An Officer and a Gentleman,55.0,55.0,55.0,55.0
Grease 2,66.0,76.0,66.0,56.0
Annie,77.0,73.0,76.0,56.0
Poltergeist,68.0,76.0,72.0,55.0
48 Hrs.,77.0,73.0,73.0,56.0
Star Trek II: The Wrath of Khan,88.0,72.0,72.0,55.0
Paradise,77.0,76.0,76.0,56.0
The Last American Virgin,77.0,73.0,76.0,56.0
Sophie's Choice,55.0,55.0,55.0,55.0
Gandhi,79.0,76.0,63.0,55.0
Tootsie,56.0,56.0,56.0,56.0
Tron,77.0,73.0,73.0,56.0
The Secret of NIMH,57.0,57.0,68.0,46.0
The King of Comedy,56.0,56.0,56.0,56.0
Rocky III,77.0,73.0,76.0,56.0
The Beastmaster,77.0,73.0,73.0,56.0
Creepshow,77.0,73.0,76.0,56.0
The Man from Snowy River,55.0,55.0,55.0,55.0
Pink Floyd: The Wall,55.0,55.0,55.0,55.0
Cat People,77.0,73.0,76.0,56.0
Fanny and Alexander,55.0,55.0,55.0,55.0
Friday the 13th Part III,77.0,73.0,76.0,56.0
Firefox,77.0,73.0,73.0,56.0
Halloween III: Season of the Witch,76.0,76.0,76.0,76.0
The Dark Crystal,55.0,55.0,55.0,55.0
The Verdict,55.0,55.0,55.0,55.0
Pieces,81.0,68.0,76.0,56.0
Zapped!,66.0,76.0,66.0,56.0
Six Pack,77.0,73.0,76.0,56.0
The World According to Garp,56.0,56.0,56.0,56.0
Diner,56.0,56.0,56.0,56.0
The Best Little Whorehouse in Texas,77.0,73.0,72.0,55.0
The Year of Living Dangerously,55.0,55.0,55.0,55.0
Night Shift,77.0,73.0,76.0,56.0
Summer Lovers,77.0,73.0,76.0,56.0
Victor Victoria,56.0,56.0,56.0,56.0
The Last Unicorn,57.0,57.0,68.0,46.0
The Entity,77.0,73.0,76.0,56.0
Airplane II: the Sequel,81.0,68.0,76.0,56.0
The Toy,77.0,73.0,76.0,56.0
The House on Sorority Row,77.0,73.0,76.0,56.0
Evil Under the Sun,58.0,58.0,58.0,58.0
The Sword and the Sorcerer,77.0,73.0,73.0,56.0
Death Wish II,77.0,73.0,73.0,56.0
Silent Rage,77.0,73.0,73.0,56.0
Megaforce,73.0,76.0,72.0,73.0
Personal Best,77.0,73.0,76.0,56.0
Dead Men Don't Wear Plaid,77.0,73.0,76.0,56.0
Amityville II: The Possession,77.0,73.0,76.0,56.0
Missing,79.0,76.0,63.0,55.0
Frances,79.0,76.0,63.0,55.0
The Seduction,76.0,76.0,76.0,76.0
Cannery Row,77.0,73.0,76.0,56.0
Deathtrap,56.0,56.0,56.0,56.0
Tex,77.0,73.0,76.0,56.0
Time Walker,76.0,76.0,76.0,76.0
"I, the Jury",77.0,73.0,76.0,56.0
Tempest,77.0,73.0,76.0,56.0
Young Doctors in Love,77.0,73.0,76.0,56.0
My Favorite Year,56.0,56.0,56.0,56.0
Still of the Night,77.0,73.0,76.0,56.0
Parasite,81.0,69.0,69.0,56.0
Making Love,77.0,73.0,76.0,56.0
Honkytonk Man,77.0,73.0,76.0,56.0
The Beast Within,77.0,73.0,76.0,56.0
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",56.0,56.0,56.0,56.0
The Final Option,77.0,73.0,73.0,56.0
Trail of the Pink Panther,66.0,76.0,66.0,56.0
The Sender,77.0,73.0,76.0,56.0
The Border,77.0,73.0,76.0,56.0
Kiss Me Goodbye,77.0,73.0,76.0,56.0
A Midsummer Night's Sex Comedy,77.0,73.0,76.0,56.0
Vice Squad,77.0,73.0,73.0,56.0
Best Friends,77.0,73.0,76.0,56.0
Shoot the Moon,77.0,73.0,76.0,56.0
Lookin' to Get Out,82.0,73.0,76.0,53.0
Barbarosa,77.0,73.0,76.0,56.0
Visiting Hours,77.0,73.0,76.0,56.0
A Little Sex,66.0,76.0,66.0,56.0
Class Reunion,66.0,76.0,66.0,56.0
Hanky Panky,77.0,73.0,73.0,56.0
Author! Author!,77.0,73.0,76.0,56.0
Split Image,77.0,73.0,76.0,56.0
The Challenge,77.0,73.0,73.0,56.0
The Soldier,77.0,73.0,73.0,56.0
Wrong Is Right,77.0,73.0,76.0,58.0
Six Weeks,77.0,73.0,76.0,56.0
The State of Things,66.0,67.0,66.0,55.0
Jekyll and Hyde... Together Again,76.0,68.0,68.0,41.0
Forced Vengeance,77.0,73.0,73.0,56.0
The Missionary,77.0,73.0,76.0,56.0
The Escape Artist,77.0,73.0,76.0,56.0
Night Crossing,77.0,73.0,76.0,56.0
Endangered Species,77.0,73.0,76.0,56.0
Things Are Tough All Over,77.0,73.0,73.0,56.0
Homework,66.0,76.0,66.0,56.0
Jinxed!,66.0,76.0,66.0,56.0
The Return of Martin Guerre,79.0,76.0,63.0,55.0
They Call Me Bruce,77.0,73.0,70.0,56.0
Some Kind of Hero,77.0,73.0,76.0,56.0
Hammett,77.0,73.0,76.0,56.0
Five Days One Summer,77.0,73.0,76.0,56.0
Penitentiary II,76.0,76.0,76.0,76.0
If You Could See What I Hear,79.0,76.0,65.0,56.0
Partners,77.0,73.0,76.0,56.0
Richard Pryor: Live on the Sunset Strip,56.0,56.0,56.0,56.0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,78.0,66.0,68.0,54.0
Monsignor,77.0,67.0,76.0,56.0
"Yes, Giorgio",66.0,76.0,66.0,56.0
I Ought to Be in Pictures,77.0,73.0,76.0,56.0
La traviata,55.0,55.0,55.0,55.0
Fighting Back,77.0,73.0,73.0,56.0
Kamikaze 89,76.0,68.0,68.0,41.0
The Wizard of Oz,77.0,73.0,69.0,46.0
Heidi's Song,77.0,73.0,69.0,46.0
Love Child,77.0,73.0,76.0,56.0
Boardinghouse,66.0,76.0,66.0,56.0
Experience Preferred... But Not Essential,55.0,55.0,55.0,55.0
The Personals,77.0,73.0,76.0,56.0
Lonely Hearts,79.0,76.0,65.0,56.0
Scarface,55.0,55.0,55.0,55.0
The Outsiders,55.0,55.0,55.0,55.0
Star Wars: Episode VI - Return of the Jedi,88.0,72.0,72.0,55.0
Risky Business,77.0,73.0,76.0,56.0
National Lampoon's Vacation,55.0,55.0,55.0,55.0
Trading Places,56.0,56.0,56.0,56.0
Superman III,73.0,76.0,72.0,73.0
The Big Chill,82.0,69.0,69.0,53.0
Staying Alive,76.0,76.0,76.0,76.0
Jaws 3-D,76.0,76.0,76.0,76.0
Christine,77.0,73.0,76.0,56.0
Sleepaway Camp,77.0,73.0,76.0,56.0
Flashdance,77.0,73.0,76.0,56.0
WarGames,88.0,72.0,72.0,55.0
The Right Stuff,55.0,55.0,55.0,55.0
Krull,77.0,67.0,73.0,56.0
Spring Break,66.0,76.0,66.0,56.0
The Dead Zone,55.0,55.0,55.0,55.0
Octopussy,77.0,73.0,73.0,56.0
Private School,77.0,73.0,76.0,56.0
Valley Girl,77.0,73.0,76.0,56.0
Rumble Fish,55.0,55.0,55.0,55.0
Videodrome,57.0,57.0,70.0,55.0
Terms of Endearment,56.0,56.0,56.0,56.0
Twilight Zone: The Movie,77.0,73.0,76.0,56.0
Never Say Never Again,77.0,73.0,73.0,56.0
A Christmas Story,56.0,56.0,56.0,56.0
Cujo,77.0,73.0,76.0,56.0
Sudden Impact,77.0,73.0,73.0,58.0
The Hunger,77.0,73.0,76.0,56.0
Mr. Mom,77.0,73.0,76.0,56.0
Blue Thunder,77.0,73.0,73.0,56.0
Breathless,77.0,73.0,73.0,56.0
Psycho II,77.0,73.0,76.0,56.0
Local Hero,56.0,56.0,56.0,56.0
Bad Boys,77.0,73.0,73.0,55.0
Silkwood,79.0,76.0,63.0,55.0
All the Right Moves,77.0,73.0,76.0,56.0
The Keep,77.0,73.0,76.0,56.0
My Tutor,77.0,73.0,76.0,56.0
Yentl,77.0,73.0,76.0,56.0
Fire and Ice,77.0,73.0,69.0,46.0
Eddie and the Cruisers,77.0,73.0,76.0,56.0
Yellowbeard,77.0,73.0,73.0,56.0
The Meaning of Life,56.0,56.0,56.0,56.0
Nostalghia,55.0,55.0,55.0,55.0
Hot Dog... The Movie,66.0,76.0,66.0,56.0
Smokey and the Bandit Part 3,81.0,69.0,72.0,74.0
Deathstalker,73.0,76.0,72.0,73.0
Porky's II: The Next Day,66.0,76.0,66.0,56.0
Something Wicked This Way Comes,77.0,73.0,76.0,56.0
Tender Mercies,55.0,55.0,55.0,55.0
Star 80,79.0,76.0,65.0,56.0
Gorky Park,77.0,73.0,76.0,56.0
Lone Wolf McQuade,77.0,73.0,73.0,56.0
Easy Money,77.0,73.0,76.0,56.0
Merry Christmas Mr. Lawrence,55.0,55.0,55.0,55.0
Losin' It,66.0,76.0,66.0,56.0
Screwballs,66.0,76.0,66.0,56.0
Brainstorm,76.0,68.0,68.0,41.0
The Man with Two Brains,77.0,73.0,76.0,56.0
Angel,77.0,73.0,73.0,56.0
10 to Midnight,77.0,73.0,76.0,56.0
Uncommon Valor,82.0,73.0,73.0,53.0
Doctor Detroit,77.0,73.0,76.0,56.0
Mortuary,77.0,73.0,76.0,56.0
Stroker Ace,73.0,76.0,72.0,73.0
Sahara,77.0,76.0,73.0,56.0
Two of a Kind,66.0,76.0,66.0,56.0
Chained Heat,73.0,76.0,72.0,73.0
Spacehunter: Adventures in the Forbidden Zone,77.0,73.0,73.0,56.0
High Road to China,82.0,73.0,76.0,53.0
Never Cry Wolf,82.0,69.0,69.0,53.0
The Pirates of Penzance,56.0,56.0,56.0,56.0
Rock & Rule,77.0,73.0,69.0,46.0
Hercules,77.0,76.0,69.0,47.0
Educating Rita,56.0,56.0,56.0,56.0
A Night in Heaven,76.0,76.0,76.0,76.0
Under Fire,55.0,55.0,55.0,55.0
Amityville 3-D,82.0,76.0,70.0,53.0
Testament,55.0,55.0,55.0,55.0
The Osterman Weekend,77.0,73.0,73.0,56.0
Revenge of the Ninja,77.0,73.0,73.0,56.0
Zelig,56.0,56.0,56.0,56.0
Independence Day,87.0,73.0,73.0,55.0
Escape from the Bronx,73.0,76.0,72.0,73.0
To Be or Not to Be,77.0,73.0,76.0,56.0
Eureka,77.0,73.0,76.0,56.0
The Wicked Lady,76.0,76.0,76.0,76.0
Still Smokin,77.0,73.0,76.0,56.0
"Yor, the Hunter from the Future",73.0,76.0,72.0,73.0
Of Unknown Origin,77.0,73.0,76.0,56.0
Curse of the Pink Panther,66.0,76.0,66.0,56.0
D.C. Cab,77.0,73.0,73.0,56.0
Beyond the Limit,77.0,73.0,76.0,56.0
The Survivors,77.0,73.0,76.0,56.0
The Lonely Lady,76.0,76.0,76.0,76.0
The Star Chamber,77.0,73.0,76.0,56.0
The Dresser,55.0,55.0,55.0,55.0
The Lords of Discipline,77.0,73.0,76.0,56.0
Cross Creek,79.0,76.0,63.0,55.0
The Man Who Loved Women,77.0,73.0,76.0,56.0
Nightmares,77.0,73.0,76.0,56.0
Deal of the Century,66.0,76.0,66.0,56.0
Eddie Macon's Run,77.0,73.0,73.0,56.0
Max Dugan Returns,77.0,73.0,76.0,56.0
The Sting II,66.0,76.0,66.0,56.0
Baby It's You,82.0,73.0,76.0,53.0
Heat and Dust,77.0,73.0,76.0,56.0
Going Berserk,81.0,68.0,76.0,56.0
Daniel,77.0,73.0,76.0,56.0
Heart Like a Wheel,79.0,76.0,65.0,56.0
Love Letters,77.0,73.0,76.0,56.0
Get Crazy,77.0,73.0,76.0,56.0
Nate and Hayes,77.0,73.0,73.0,56.0
Strange Invaders,77.0,73.0,76.0,56.0
The Black Stallion Returns,77.0,73.0,76.0,56.0
Metalstorm: the Destruction of Jared-Syn,81.0,76.0,72.0,68.0
Getting It on,66.0,76.0,66.0,56.0
Lianna,77.0,73.0,76.0,56.0
Better Late Than Never,77.0,73.0,76.0,56.0
Lovesick,77.0,73.0,76.0,56.0
Running Brave,79.0,76.0,65.0,56.0
Exposed,77.0,73.0,76.0,56.0
Trenchcoat,77.0,73.0,76.0,56.0
Stryker,69.0,76.0,78.0,57.0
The Man Who Wasn't There,68.0,76.0,72.0,55.0
Table for Five,77.0,73.0,76.0,56.0
Romantic Comedy,77.0,73.0,76.0,56.0
Young Warriors,82.0,76.0,72.0,53.0
"Man, Woman and Child",77.0,73.0,76.0,56.0
Hanna K.,77.0,73.0,76.0,56.0
Slayground,76.0,76.0,76.0,76.0
White Star,77.0,73.0,76.0,56.0
Richard Pryor... Here and Now,56.0,56.0,56.0,56.0
Deadly Force,73.0,76.0,72.0,73.0
My Brother's Wedding,55.0,55.0,55.0,55.0
Blue Skies Again,77.0,73.0,76.0,56.0
Last Plane Out,73.0,76.0,72.0,73.0
Cross Country,77.0,73.0,76.0,56.0
A Polish Vampire in Burbank,66.0,76.0,66.0,56.0
Forever Young,77.0,73.0,76.0,56.0
The Golden Seal,77.0,73.0,76.0,56.0
The Business of Show Business,55.0,55.0,55.0,55.0
The Terminator,88.0,72.0,72.0,55.0
Dune,77.0,73.0,73.0,56.0
Ghostbusters,84.0,73.0,73.0,56.0
The Karate Kid,87.0,73.0,73.0,55.0
Once Upon a Time in America,55.0,55.0,55.0,55.0
Police Academy,77.0,73.0,76.0,56.0
Indiana Jones and the Temple of Doom,88.0,72.0,72.0,55.0
Body Double,77.0,73.0,72.0,55.0
A Nightmare on Elm Street,77.0,73.0,76.0,55.0
Amadeus,79.0,76.0,63.0,55.0
Beverly Hills Cop,84.0,70.0,72.0,53.0
Red Dawn,77.0,73.0,72.0,55.0
The NeverEnding Story,55.0,55.0,55.0,55.0
Footloose,77.0,73.0,76.0,56.0
Revenge of the Nerds,77.0,73.0,76.0,56.0
Gremlins,56.0,56.0,56.0,56.0
Romancing the Stone,77.0,73.0,73.0,56.0
Streets of Fire,77.0,73.0,73.0,56.0
Sixteen Candles,56.0,56.0,56.0,56.0
"Paris, Texas",55.0,55.0,55.0,55.0
This Is Spinal Tap,56.0,56.0,56.0,56.0
1984,55.0,55.0,55.0,55.0
Top Secret!,56.0,56.0,56.0,56.0
Conan the Destroyer,77.0,73.0,73.0,56.0
Children of the Corn,77.0,73.0,76.0,56.0
The Last Starfighter,77.0,73.0,73.0,56.0
Splash,77.0,73.0,76.0,56.0
Blood Simple,55.0,55.0,55.0,55.0
The Natural,55.0,55.0,55.0,55.0
Bachelor Party,82.0,73.0,76.0,53.0
Nausicaä of the Valley of the Wind,57.0,57.0,68.0,55.0
Friday the 13th: the Final Chapter,77.0,73.0,76.0,56.0
Hardbodies,66.0,76.0,66.0,56.0
Against All Odds,77.0,73.0,73.0,56.0
Supergirl,73.0,76.0,72.0,73.0
The Bounty,55.0,55.0,55.0,55.0
Firestarter,77.0,73.0,72.0,55.0
C.H.U.D.,77.0,73.0,76.0,56.0
The Woman in Red,77.0,73.0,70.0,56.0
Runaway,77.0,73.0,73.0,56.0
The Adventures of Buckaroo Banzai Across the 8th Dimension,77.0,73.0,76.0,56.0
Star Trek III: The Search for Spock,82.0,73.0,73.0,53.0
Repo Man,77.0,73.0,73.0,56.0
2010: the Year We Make Contact,77.0,73.0,76.0,56.0
The Killing Fields,79.0,76.0,63.0,55.0
The Cotton Club,77.0,73.0,76.0,56.0
Starman,55.0,55.0,55.0,55.0
Night of the Comet,77.0,73.0,76.0,56.0
Blame It on Rio,77.0,73.0,76.0,56.0
Dreamscape,77.0,73.0,73.0,56.0
Crimes of Passion,77.0,73.0,76.0,56.0
The Philadelphia Experiment,77.0,73.0,76.0,56.0
Places in the Heart,55.0,55.0,55.0,55.0
Bolero,82.0,76.0,70.0,53.0
Cannonball Run II,77.0,73.0,73.0,56.0
Stranger Than Paradise,56.0,56.0,56.0,56.0
The Ice Pirates,77.0,73.0,73.0,56.0
A Passage to India,55.0,55.0,55.0,55.0
Purple Rain,77.0,73.0,76.0,56.0
The Hotel New Hampshire,77.0,73.0,76.0,56.0
The Hit,55.0,55.0,55.0,55.0
Sheena,66.0,76.0,66.0,58.0
Missing in Action,77.0,73.0,73.0,56.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",77.0,73.0,76.0,56.0
The Muppets Take Manhattan,77.0,73.0,76.0,56.0
The Wild Life,77.0,73.0,76.0,56.0
Falling in Love,77.0,73.0,76.0,56.0
Gwendoline,77.0,73.0,70.0,56.0
Breakin',77.0,73.0,76.0,56.0
Birdy,55.0,55.0,55.0,55.0
The Company of Wolves,77.0,73.0,76.0,56.0
Ghoulies,66.0,76.0,66.0,56.0
Electric Dreams,77.0,73.0,76.0,56.0
Cloak & Dagger,77.0,73.0,73.0,56.0
Racing with the Moon,77.0,73.0,76.0,56.0
"Silent Night, Deadly Night",77.0,73.0,76.0,56.0
The Pope of Greenwich Village,77.0,67.0,73.0,56.0
All of Me,77.0,73.0,76.0,56.0
"Grandview, U.S.A.",77.0,73.0,76.0,56.0
Where the Boys Are,66.0,76.0,66.0,56.0
Reckless,77.0,73.0,76.0,56.0
Tightrope,77.0,73.0,72.0,55.0
Rhinestone,66.0,76.0,66.0,56.0
The Flamingo Kid,77.0,73.0,76.0,56.0
Up the Creek,77.0,73.0,76.0,56.0
Swing Shift,77.0,73.0,76.0,56.0
Beat Street,82.0,73.0,76.0,53.0
Joy of Sex,66.0,76.0,66.0,56.0
Breakin' 2: Electric Boogaloo,77.0,73.0,76.0,56.0
